type,encoded_text,scheme,num_of_chars,contains_bit_only,contains_decimal_only,contains_hex_only,contains_alpha_only,contains_upper_case_only,contains_lower_case_only,contains_mixed_upper_lower_case,contains_equal,contains_slash,contains_dot,contains_colon,contains_special_chars
CRC-16,55344,None,5,0,1,1,0,0,0,0,0,0,0,0,0
CRC-32,2778653606,None,10,0,1,1,0,0,0,0,0,0,0,0,0
CRC-64,620196848196905005,None,18,0,1,1,0,0,0,0,0,0,0,0,0
Decimal,10697115109105110101,None,20,0,1,1,0,0,0,0,0,0,0,0,0
DES Crypt,qDi2NGl30gfus,None,13,0,0,0,0,0,0,1,0,0,0,0,0
Django Argon2,"argon2$argon2i$v=19$m=65536,t=3,p=4$/n/POYcQIuScc855r5XSWg$iJhF8o6LeSIkL/fRL8+1JWoUVdiBO9dCQ0dtFfCyMfg",None,102,0,0,0,0,0,0,1,1,1,0,0,1
Django BCrypt,bcrypt$$2b$12$0oKeTXfzFtjRkEarQIqVIuhSy.j9SjD/lHpyBnI5tQ6LVQuVPo2F.,None,67,0,0,0,0,0,0,1,0,1,1,0,1
Django BCrypt SHA256,bcrypt_sha256$$2b$12$GFjFNewJgPqzhf/T9wum9.3OcXQmV2ITa.TXQDjvZJwkS.h.Ydady,None,74,0,0,0,0,0,0,1,0,1,1,0,1
Django DES Crypt,crypt$KU$KUjMuZqCYMwjU,None,22,0,0,0,0,0,0,1,0,0,0,0,1
Django PBKDF2 SHA1,pbkdf2_sha1$131000$hiVBRRfhNBz5$O7UKLc4VJWXIMpeguGxLi5p1/24=,None,60,0,0,0,0,0,0,1,1,1,0,0,1
Django PBKDF2 SHA256,pbkdf2_sha256$29000$TVQtpssUbuWK$L5niw9b3ottOUDrzMXk2CMhs5HQEm3DIm/hAdsU9Alg=,None,77,0,0,0,0,0,0,1,1,1,0,0,1
Django salted MD5,md5$ZbvMdLWcKceY$8884885fdc28771d0881df6cad7db517,None,49,0,0,0,0,0,0,1,0,0,0,0,1
Django salted SHA1,sha1$XW4TmvqEnymQ$8c99eb9ed2165f1d86e817bd16170f2d090f234a,None,58,0,0,0,0,0,0,1,0,0,0,0,1
Grub PBKDF2 SHA512,grub.pbkdf2.sha512.25000.B1D6BA57AA750E41280520242464EC9D13C2B8778EB156EAFDDFDBBBD71A03602C0580F0BE578AB1B696F29EB3B636666CEDDD3BC7588B3186B0560AC1D81B63.CEE0C2A495A67B792F45772A68EF4A28942A66191FD6AC9A40372CC5C3E541530FC09C65859954BF7EEA9CDB02C01803B28D7043D34B5DBAD7C43368090DDB49,None,282,0,0,0,0,0,0,1,0,0,1,0,1
Hex,6a61736d696e65,None,14,0,0,1,0,0,1,0,0,0,0,0,0
HMAC-SHA1,25f51074cc0bdc94900c991902070f01a8198ed2,None,40,0,0,1,0,0,1,0,0,0,0,0,0
HMAC-SHA256,f73c2ee4f16b9171afcd052b849f2df23cea4d232dfd700bdb540fce04a65dce,None,64,0,0,1,0,0,1,0,0,0,0,0,0
HMAC-SHA512,ab07ee151e39ab6fa4a14f6d541829884d360254a017f1fc6c8406882b6da28b89314bb2ddf0254ee7920ed256f9790eb5c9fca3649834a5e1b7c1ec679f28b0,None,128,0,0,1,0,0,1,0,0,0,0,0,0
Keccak-224,c3d0762e09566d344cdd1d84d4e3cd03bed423646c5b5efb5839e95a,None,56,0,0,1,0,0,1,0,0,0,0,0,0
Keccak-256,33cb62fa4f9fa8bb5b69f5a1f843e9d3b14d57c508a3c76190845b8774676199,None,64,0,0,1,0,0,1,0,0,0,0,0,0
Keccak-384,63c409be44f3578a82a37e2aeca2e8ae46bf1e5291bbae6e74e44b81acbd41e6da64e7bcf824b8e3ba0449b4551078c6,None,96,0,0,1,0,0,1,0,0,0,0,0,0
Keccak-512,ebf931a03abdb8e1997b78668f8c6635b6ddcecd0197d278f56d7bfc4107434e3d1145b08725ea6167a74780d266cebab49f58ade99f50dd021469d7aa20eb3a,None,128,0,0,1,0,0,1,0,0,0,0,0,0
LDAP MD5,{MD5}8hwNPlZMfbXM9zwJWguTcQ==,{MD5},29,0,0,0,0,0,0,1,1,0,0,0,1
LDAP salted MD5,{SMD5}d0fYh/ieIT7DydiC5iQHEfd+z1k=,{SMD5},34,0,0,0,0,0,0,1,1,1,0,0,1
LDAP salted SHA1,{SSHA}WQZ0vPpyky9Xf6RTKEN8w1q6faHTes+5,{SSHA},38,0,0,0,0,0,0,1,0,0,0,0,1
LDAP salted SHA256,{SSHA256}VXZAS5ECkIHj+MKkcTkVKAegVTA0IIBKTkJx6zOajjc45/z/P6c05g==,{SSHA256},65,0,0,0,0,0,0,1,1,1,0,0,1
LDAP salted SHA512,{SSHA512}r0sgwag2AiEj7c6JMNY/dRZbGjxx/5DFh/PIvMZ0zNwSoaXs49KdvQX/pUTtbH0Gh+CcZeHUZK5V1SKIPCtkf7j3XgtBSCnl,{SSHA512},105,0,0,0,0,0,0,1,0,1,0,0,1
LDAP SHA1,{SHA}W/0IvaxZiLjB0UqGv4q3NtsVnp8=,{SHA},33,0,0,0,0,0,0,1,1,1,0,0,1
LM,fa8a4c5156799330aad3b435b51404ee,None,32,0,0,1,0,0,1,0,0,0,0,0,0
MD4,b3305d7ac2f05893c30de46c232dbe1c,None,32,0,0,1,0,0,1,0,0,0,0,0,0
MD5,f21c0d3e564c7db5ccf73c095a0b9371,None,32,0,0,1,0,0,1,0,0,0,0,0,0
md5crypt,$1$c0kZkMUA$ujjSY/gWBXkPbzRaekMKQ1,$1$,34,0,0,0,0,0,0,1,0,1,0,0,1
MSSQL 2000,0x010024E41C430BBF5D1E279974E47977D83F2F4350087933A5F5FE6C7E75A19D4474CA31E25A326D724411A785E5,None,94,0,0,0,0,0,0,1,0,0,0,0,0
MSSQL 2005,0x0100B676CED93FD41D25805E4FEE50A466193C0C368A5F734579,None,54,0,0,0,0,0,0,1,0,0,0,0,0
MySQL 3.2.3,56b7850567ecfd49,None,16,0,0,1,0,0,1,0,0,0,0,0,0
MySQL 4.1,*4B2FB2772B74976A192CD8E52D2BC2F68D737681,None,41,0,0,0,0,1,0,0,0,0,0,0,1
NTLM,1d1998b165c6f302bd1d6f89ecce153d,None,32,0,0,1,0,0,1,0,0,0,0,0,0
Oracle 10g,2D5B3A850BA54A35,None,16,0,0,1,0,1,0,0,0,0,0,0,0
Oracle 11g,S:203038E79EF9FE7D278AA7F8C8359322549705B0AE8BFDA746C88544F0D2,None,62,0,0,0,0,1,0,0,0,0,0,1,1
PBKDF2-HMAC-SHA256,58a4fa1cf0dc1dd60ea19fbd3fc3169a822a53874eb9fa2c11648bf6501f3650,None,64,0,0,1,0,0,1,0,0,0,0,0,0
PBKDF2-HMAC-SHA512,3c997a721fa149f84c0b7d89e704fee4e4ffaeefcb3a6befaea40473fc7ab934087bcd4be615a289f1fe5a751537d801781b4663af5c29b53ccf77ee6a1ba762,None,128,0,0,1,0,0,1,0,0,0,0,0,0
PHPass,$P$HiYTkPl.DdYytUP90JHwv4rGoV7Hn5.,$P$,34,0,0,0,0,0,0,1,0,0,1,0,1
PostgreSQL MD5,md59bfad434690c4ed719393a168671d591,None,35,0,0,0,0,0,1,0,0,0,0,0,0
ROT13,wnfzvar,None,7,0,0,0,1,0,1,0,0,0,0,0,0
ROT47,;2D>:?6,None,7,0,0,0,0,1,0,0,0,0,0,1,1
SCRAM,"$scram$100000$9b7XGgMgpHSu9V6L$sha-1=oGxbxIlyv5DZk0Rb1cWqzcCYr3w,sha-256=cUIWXHdQwmip7pDkIhpLY8IocC6XvYcwZJFdQDiuZ9I,sha-512=TXviGqwfpmspPaDy7o0TCsn/MFVmwMYSXjXCKZpscWoWMNR7zhhmtKeJ7CpqqHO.5xtLCjyYobz/WuQ3CaU.mg",$scram$,211,0,0,0,0,0,0,1,1,1,1,0,1
scrypt,"$scrypt$ln=16,r=8,p=1$uLfWOmcMASDk3LvXeq/1/g$JmirvDWzhoq667mFdz8wQkfD15jgSFQLFFubicXdAHk",$scrypt$,88,0,0,0,0,0,0,1,1,1,0,0,1
SHA1,5bfd08bdac5988b8c1d14a86bf8ab736db159e9f,None,40,0,0,1,0,0,1,0,0,0,0,0,0
sha1crypt,$sha1$480000$wm4eAux6$YGe0W/A9oYGVhfF7GzESYxmr8wH3,$sha1$,50,0,0,0,0,0,0,1,0,1,0,0,1
SHA224,c48f80f744174d09a24900ab9c2b1ad3cdf53a9f261a802071daa6a7,None,56,0,0,1,0,0,1,0,0,0,0,0,0
SHA256,6d1c5859550824d403d8c31af9ac673b7ba206e6f87e61e096a017299f74d63f,None,64,0,0,1,0,0,1,0,0,0,0,0,0
sha256crypt,$5$rounds=535000$kHDhtSJA.TB0s3c1$fPTzKHK5NvG1aBzRyZMXSwe1kDwjrQnYCLDmOI7ksT/,$5$,77,0,0,0,0,0,0,1,1,1,1,0,1
SHA384,354902822836e12137ca70194c0c355d764b1097ff992490b00cb3e85acb8f621604b50e78db86fa1f40d9e78d8eb45c,None,96,0,0,1,0,0,1,0,0,0,0,0,0
SHA512,b5e471128a2800835ae66354e5d8fd87e83c52f74f39b63fe950b294b942e96b11ee640d50b7dc7045161bfbbac06258823b6f186afe5c572e1f38bf090d2859,None,128,0,0,1,0,0,1,0,0,0,0,0,0
sha512crypt,$6$rounds=656000$oHYTFvA4KHbf7ao2$zhLv.doKic5lCbGaGMOVHSpjm0MuFHT3W8pdoTi2SAo.pmUR3CFHmK4FYntxmKi3cYt2URhXAiaYYAU5ew8qd/,$6$,120,0,0,0,0,0,0,1,1,1,1,0,1
SHA3-224,2dfc0c08ca5d8e62b88ef5f9e59462d51c3a832cc4d1adbbe067c7b9,None,56,0,0,1,0,0,1,0,0,0,0,0,0
SHA3-256,0472585daa49826d0d3ae0bc93a1f2dcc1a6e882bc29c92bfaa5724133d248ac,None,64,0,0,1,0,0,1,0,0,0,0,0,0
SHA3-384,b9900577ee20966fb2a352864e8f8e7f52d6c8561f9e933690bf178766af733dcea3868eab717137a670642432c88aca,None,96,0,0,1,0,0,1,0,0,0,0,0,0
SHA3-512,a09bbe953a8a9ac7ccdde1afd062bbfa18e88283ed6b3e6dd47522ab9a04b2f3e4597d908ba87a4134282fae3ee3947ac02858e16b071b3a28c2fa2c7ef7df37,None,128,0,0,1,0,0,1,0,0,0,0,0,0
Vigenere,teqwmlo,None,7,0,0,0,1,0,1,0,0,0,0,0,0
Apache MD5 Crypt,$apr1$lcmzxTmH$Sd4FfnPiTngLerVaa2IHQ.,$apr1$,37,0,0,0,0,0,0,1,0,0,1,0,1
Argon2,"$argon2id$v=19$m=65536,t=4,p=4$mrMWAkAIoRSilFLq/Z9Tyg$Zg/SOmMKAX+PQ2T7SPbo/UjJig+57yeiftqeWSo8P0I",$argon2id$,97,0,0,0,0,0,0,1,1,1,0,0,1
Atbash,hznzmgsz,None,8,0,0,0,1,0,1,0,0,0,0,0,0
Atlassian PBKDF2 SHA1,{PKCS5S2}uzcm5Pz/33sPgdBa613Luft+CO7l8KkFJFq5XL729GsGpoEESPD0TydW6My5+Ikv,{PKCS5S2},73,0,0,0,0,0,0,1,0,1,0,0,1
Base32,ONQW2YLOORUGC===,None,16,0,0,0,0,1,0,0,1,0,0,0,1
Base64,c2FtYW50aGE=,None,12,0,0,0,0,0,0,1,1,0,0,0,1
BCrypt,$2a$12$jTodRn.6AphTxk8EvWQN7.tBGBrJXU4j7rvKoCRpsR6tVbisazLvy,$2a$,60,0,0,0,0,0,0,1,0,0,1,0,1
BCrypt,$2b$12$2UP8vBgXUFB7vAurz2VDEeDGU0aaPgyKUvkWdBdyn1pf4X25MDK0O,$2b$,60,0,0,0,0,0,0,1,0,0,0,0,1
Binary,11100111100001110110111000011101110111010011010001100001,None,56,1,1,1,0,0,0,0,0,0,0,0,0
BLAKE2b,151531b33f3b375f76dfb249e20f1f1b811553ca7dd44ec48625dbf35c04ba4c1ee6a4e626fd9af1980a653c03ca74ad4fed6bd674e00ed38fcb39820fdccf2f,None,128,0,0,1,0,0,1,0,0,0,0,0,0
BLAKE2s,5ef956927d502b95f5465203241589e472706ef4d2e214602bf4ae0954e15975,None,64,0,0,1,0,0,1,0,0,0,0,0,0
BSDi Crypt,_7C/.YO6K9HPCvdfVqoE,None,20,0,0,0,0,0,0,1,0,1,1,0,1
Caesar,weqerxle,None,8,0,0,0,1,0,1,0,0,0,0,0,0
CISCO-ASA MD5,jdQUJkmqmv5OkuBl,None,16,0,0,0,0,0,0,1,0,0,0,0,0
CISCO-PIX MD5,jdQUJkmqmv5OkuBl,None,16,0,0,0,0,0,0,1,0,0,0,0,0
CISCO Type 7,071C20414F070D0D16,None,18,0,0,1,0,1,0,0,0,0,0,0,0
CRC-16,53392,None,5,0,1,1,0,0,0,0,0,0,0,0,0
CRC-32,63175554,None,8,0,1,1,0,0,0,0,0,0,0,0,0
CRC-64,17955157194602295221,None,20,0,1,1,0,0,0,0,0,0,0,0,0
Decimal,115971099711011610497,None,21,0,1,1,0,0,0,0,0,0,0,0,0
DES Crypt,3TK1obfdAT4c.,None,13,0,0,0,0,0,0,1,0,0,1,0,1
Django Argon2,"argon2$argon2i$v=19$m=65536,t=3,p=4$I2SMkZJSqrVWKuVci1GqNQ$aQLZvhy2KuzhwSzYLlxx06XlNhF6tvCSPdnhQnlzt3s",None,102,0,0,0,0,0,0,1,1,0,0,0,1
Django BCrypt,bcrypt$$2b$12$vHrGOUG.6Wm0XrXOahDLb.RjoYIOKfa7cCkYpSzrvqEQQxnqGe6zi,None,67,0,0,0,0,0,0,1,0,0,1,0,1
Django BCrypt SHA256,bcrypt_sha256$$2b$12$5uQGCvO5nz2KKTSV6aPeweR9LpE3Uk4QF2Yp4pIV9j./IexYx5wYC,None,74,0,0,0,0,0,0,1,0,1,1,0,1
Django DES Crypt,crypt$g3$g3BvZaNil8B/2,None,22,0,0,0,0,0,0,1,0,1,0,0,1
Django PBKDF2 SHA1,pbkdf2_sha1$131000$ibz5B8iFkEGV$sx4PlG9dJQ76fO679M5qdixyvmI=,None,60,0,0,0,0,0,0,1,1,0,0,0,1
Django PBKDF2 SHA256,pbkdf2_sha256$29000$Ad1YLyt1XPte$R7YAAqS4i8tJCosl0DzCFMbFD8QBDSgfW5niV9dIqsc=,None,77,0,0,0,0,0,0,1,1,0,0,0,1
Django salted MD5,md5$S9viQ2G3JmhW$d4f3cd1b9b13004e7ca17e2dc27a4df2,None,49,0,0,0,0,0,0,1,0,0,0,0,1
Django salted SHA1,sha1$6Y7VvxGFGAJx$b64e6986fc4264db1ee7dffe634e7094e53231bc,None,58,0,0,0,0,0,0,1,0,0,0,0,1
Grub PBKDF2 SHA512,grub.pbkdf2.sha512.25000.78EF3D078050CAF97FEFFD1F83B096D2FABF17628C919232C6D81BA3D43A474849E93D07A0540AE13C87F0DE5B8B71EE3D4788112244A8D55AEBBDF7FE7F6FED.BE4D45758C133780A41D62AA1C880AE460EB00062D85BAAC84BE8F3719E937089C692F7A12AA6B81EA421F6159F402D2B7CB9F70804B2BFC746022D1C20E7C38,None,282,0,0,0,0,0,0,1,0,0,1,0,1
Hex,73616d616e746861,None,16,0,0,1,0,0,1,0,0,0,0,0,0
HMAC-SHA1,d2caf9ba9e0cf9cddffd232f970226506fdaaa15,None,40,0,0,1,0,0,1,0,0,0,0,0,0
HMAC-SHA256,b17a7f1151ffa53ffe3507bc6f8b29600484ca63f9525d8296eec98051223b8c,None,64,0,0,1,0,0,1,0,0,0,0,0,0
HMAC-SHA512,efbff2ece425ab4b3f83d8ab6d5d67494f61cae491f3f87aef1fd4590998144cf47b79033e5c8e84dd7a89a038956c9d4246ea20bdad1862189d7e8f73dd8127,None,128,0,0,1,0,0,1,0,0,0,0,0,0
Keccak-224,80bf84642e4de88d48919c9dc645bbca93b6b5bcd35e51c489ce286a,None,56,0,0,1,0,0,1,0,0,0,0,0,0
Keccak-256,dd943c218e389d5507a8fff06282342597b46e7bae24a4ae5ae4f3cdbdd5f973,None,64,0,0,1,0,0,1,0,0,0,0,0,0
Keccak-384,4acfacca84fd0f4c7a93b74b9a225bf1d6369c991606ba47dfc7c207871990217ae953bda19bd15e2061a1f3b7596570,None,96,0,0,1,0,0,1,0,0,0,0,0,0
Keccak-512,5dbf9e1bc25447b86eaf7e2f1e5746fb199add607a7afdb133e9c13bcf39972e1ea9dacbf09beba0b773944c381f967af679a19cdc91b3e4e64970d47f607522,None,128,0,0,1,0,0,1,0,0,0,0,0,0
LDAP MD5,{MD5}8B4NeZKjt3SFONAikbC+rg==,{MD5},29,0,0,0,0,0,0,1,1,0,0,0,1
LDAP salted MD5,{SMD5}eFUtPn62hwjMH5drSxSQLUWodU4=,{SMD5},34,0,0,0,0,0,0,1,1,0,0,0,1
LDAP salted SHA1,{SSHA}FST00IihnVOBMGoGxC02sUD7tDfTmnMO,{SSHA},38,0,0,0,0,0,0,1,0,0,0,0,1
LDAP salted SHA256,{SSHA256}t9eOTKJvhrAvdOEQFtUvOwfYShjKxkEbfLzXilLGmHMWYmyNUWptLQ==,{SSHA256},65,0,0,0,0,0,0,1,1,0,0,0,1
LDAP salted SHA512,{SSHA512}GUmNQ+++pudT/FC7/GN6tFF5JYdQHV+EHwecnEYXzQd6iWQtOGeHcRB/IEsgourcCraMdZteGFZ1dCxyWHCfTvG+N4bQOoeQ,{SSHA512},105,0,0,0,0,0,0,1,0,1,0,0,1
LDAP SHA1,{SHA}7Fp8PiFDao52cWcQzlUTVvmqdF4=,{SHA},33,0,0,0,0,0,0,1,1,0,0,0,1
LM,588fa44057cd99db7584248b8d2c9f9e,None,32,0,0,1,0,0,1,0,0,0,0,0,0
MD4,f7a9af5ae99809c96f2b5a1c2069fdd3,None,32,0,0,1,0,0,1,0,0,0,0,0,0
MD5,f01e0d7992a3b7748538d02291b0beae,None,32,0,0,1,0,0,1,0,0,0,0,0,0
md5crypt,$1$250h4GYG$Lg3Jp9scv93E1JEyi0IIs/,$1$,34,0,0,0,0,0,0,1,0,1,0,0,1
MSSQL 2000,0x01001482B09647665AB1BDAF5A9DB7F7DB5851516A14DB3F0FF925DC3E58AADD63E7769F166076A8ADB2239003B1,None,94,0,0,0,0,0,0,1,0,0,0,0,0
MSSQL 2005,0x010073EEBDF7EBA794BF0E7F3349069B61ADCBA8E1A8E097E084,None,54,0,0,0,0,0,0,1,0,0,0,0,0
MySQL 3.2.3,64354a77685bfe88,None,16,0,0,1,0,0,1,0,0,0,0,0,0
MySQL 4.1,*CD01511CEDE2849C6F4E7A8F79DE6ECEF8A957DB,None,41,0,0,0,0,1,0,0,0,0,0,0,1
NTLM,e8a38f149bf33b7e1678cb0676dd9df5,None,32,0,0,1,0,0,1,0,0,0,0,0,0
Oracle 10g,68FF35A043812915,None,16,0,0,1,0,1,0,0,0,0,0,0,0
Oracle 11g,S:844764D20BA8556B651C9ABCF31B1A0053FDE58B392DAF40E2323972E130,None,62,0,0,0,0,1,0,0,0,0,0,1,1
PBKDF2-HMAC-SHA256,a879bd8d54fa141cdddf957b5eb6748bf368edf061289f81c014928577e7dbca,None,64,0,0,1,0,0,1,0,0,0,0,0,0
PBKDF2-HMAC-SHA512,71c41c4c212b208f74b8b929af49e8e11e571ef41a609d338d57a2c9a23024dda28fa2397234d1fa2caebfa14d66fba46c98da700b904c13a63cc89e84cc5524,None,128,0,0,1,0,0,1,0,0,0,0,0,0
PHPass,$P$HeuIc.6npBfkwK44uzovXo8ca1BFn5/,$P$,34,0,0,0,0,0,0,1,0,1,1,0,1
PostgreSQL MD5,md5ed289903f28e1c798ca792be1fda636e,None,35,0,0,0,0,0,1,0,0,0,0,0,0
ROT13,fnznagun,None,8,0,0,0,1,0,1,0,0,0,0,0,0
ROT47,D2>2?E92,None,8,0,0,0,0,1,0,0,0,0,0,0,1
SCRAM,"$scram$100000$x/ifs/Y.x9h7770X$sha-1=6KANTj3C.YvT.quuAnynjkD7lI0,sha-256=P.1CAvfxWT3xW5mEnJhCkLctwwOxB17f43lGeX0xupU,sha-512=3bsWT3bJh5MlR9G07Xjkn2bFbqW7f5piqmNJqjEhnv0qhraa8Hdy7TNzXPF6otEWAvnIC9AxY9qyST1fwz/tzA",$scram$,211,0,0,0,0,0,0,1,1,1,1,0,1
scrypt,"$scrypt$ln=16,r=8,p=1$Q4gR4pwTQmit1bp3DoFQqg$Y5WzvsylA3Yaa5gbwSGEyifM42c+M31wk4wAzqNC5L0",$scrypt$,88,0,0,0,0,0,0,1,1,0,0,0,1
SHA1,ec5a7c3e21436a8e76716710ce551356f9aa745e,None,40,0,0,1,0,0,1,0,0,0,0,0,0
sha1crypt,$sha1$480000$6ul93/wv$9UYPQrG1ooTdp22ptVDPQeA/ihnb,$sha1$,50,0,0,0,0,0,0,1,0,1,0,0,1
SHA224,4bb75c24a81335c74b517c2d3f122f4374f19eab03b5aabf0dfab8fb,None,56,0,0,1,0,0,1,0,0,0,0,0,0
SHA256,c5422c052bfbd7bbd9764e0467688b62193fec4fa32a1b13af28d1708d5870ec,None,64,0,0,1,0,0,1,0,0,0,0,0,0
sha256crypt,$5$rounds=535000$QzBSpqrN/u.U9Mdq$jTg4ttm1csk0F/HO7wRbsEu0Z6ovWPTh4H2a34hnFO7,$5$,77,0,0,0,0,0,0,1,1,1,1,0,1
SHA384,2daf024351062a50b449313659d0c36d4fff5aa057a63b15588a02f0728ee6a14efef481786baea708ff5eb471fcbc49,None,96,0,0,1,0,0,1,0,0,0,0,0,0
SHA512,e3ca69b18b78865c8360068f006a86664f9d1f73f716815f93dff495357e69178b72ba062a459a38b804c16597782b4c13f5430260b2c8e5dae5b65c84594e3e,None,128,0,0,1,0,0,1,0,0,0,0,0,0
sha512crypt,$6$rounds=656000$a4BghY.A5FMcgDSq$D7x8qiDE1PU8FsmkZI56NZQ/q0QmsVFOPmgSsYz9nOZ5M5ELNrhFGux4WnRCbEWrwJywa0tDLbPDat.VWSqfy.,$6$,120,0,0,0,0,0,0,1,1,1,1,0,1
SHA3-224,b2d3cd3b0703ad272ccdbe3fd5e4abd491c4ae66ea6ece36bd61e514,None,56,0,0,1,0,0,1,0,0,0,0,0,0
SHA3-256,f0b98d47610511e54c847753f28b52201892f97ef91d46223823def8bf20488c,None,64,0,0,1,0,0,1,0,0,0,0,0,0
SHA3-384,53d54e0c6a2912c3bad315e3012e71f3161b49ebf9b1d97273947bf8df0bbf93bff4ecf9fe83c30430ed04a7b7d9b6f5,None,96,0,0,1,0,0,1,0,0,0,0,0,0
SHA3-512,cf286020c473ab81ce0310ae293795f2afad66d4d94794be7ca884a5dd7cd9d5ca24e1a38f0bd7452737a637bee1523888b9dcf5606a9c6528f5f4ec47a9274f,None,128,0,0,1,0,0,1,0,0,0,0,0,0
Vigenere,cekkrrre,None,8,0,0,0,1,0,1,0,0,0,0,0,0
Apache MD5 Crypt,$apr1$iAX4CPC0$ifl7OKkrHn6Htekbzvbmf/,$apr1$,37,0,0,0,0,0,0,1,0,1,0,0,1
Argon2,"$argon2id$v=19$m=65536,t=4,p=4$mvP+HwMgZEwpBeA8RwjhnA$xZ9NKl/ZBqRrdHuNWXV0eOgjuZ/07KXXhbpnMCg8S4k",$argon2id$,97,0,0,0,0,0,0,1,1,1,0,0,1
Atbash,hszwld,None,6,0,0,0,1,0,1,0,0,0,0,0,0
Atlassian PBKDF2 SHA1,{PKCS5S2}BGBMqZVyzjmn1BoDwFhL6S2LuPtWJk3iE1qvExEcywruun34lz5JnPgjgElTcPlc,{PKCS5S2},73,0,0,0,0,0,0,1,0,0,0,0,1
Base32,ONUGCZDPO4======,None,16,0,0,0,0,1,0,0,1,0,0,0,1
Base64,c2hhZG93,None,8,0,0,0,0,0,0,1,0,0,0,0,0
BCrypt,$2a$12$UtdQ20VtRNWp0JwG446yselOINkmL3GJMlZuzHn2adN4LO0Oi5rqi,$2a$,60,0,0,0,0,0,0,1,0,0,0,0,1
BCrypt,$2b$12$Ts1UCR/Yck6l5Euu7Z52TurM3oX66wDXepBwljR/.Nbowhvz3Uxd2,$2b$,60,0,0,0,0,0,0,1,0,1,1,0,1
Binary,111001111010001100001110010011011111110111,None,42,1,1,1,0,0,0,0,0,0,0,0,0
BLAKE2b,84cbb818cfade90c0630a1ee3145fdda66c1b1fb4862cc854c312c98c388dd84cb1f03d2ef97126071e9529943bf3da4abe0dacd2a5a85028381a65afe1e3623,None,128,0,0,1,0,0,1,0,0,0,0,0,0
BLAKE2s,cdd32c872b68e6f9c080183077c7a540523047877469738f2d8a8a9e505e370f,None,64,0,0,1,0,0,1,0,0,0,0,0,0
BSDi Crypt,_7C/.8S38rl9WCjQEcZY,None,20,0,0,0,0,0,0,1,0,1,1,0,1
Caesar,wlehsa,None,6,0,0,0,1,0,1,0,0,0,0,0,0
CISCO-ASA MD5,XhyyEv6K8ySO6qg7,None,16,0,0,0,0,0,0,1,0,0,0,0,0
CISCO-PIX MD5,XhyyEv6K8ySO6qg7,None,16,0,0,0,0,0,0,1,0,0,0,0,0
CISCO Type 7,0615072048411E,None,14,0,0,1,0,1,0,0,0,0,0,0,0
CRC-16,60708,None,5,0,1,1,0,0,0,0,0,0,0,0,0
CRC-32,1942837902,None,10,0,1,1,0,0,0,0,0,0,0,0,0
CRC-64,9317159453599494135,None,19,0,1,1,0,0,0,0,0,0,0,0,0
Decimal,11510497100111119,None,17,0,1,1,0,0,0,0,0,0,0,0,0
DES Crypt,J9QQC5LtQL9AE,None,13,0,0,0,0,0,0,1,0,0,0,0,0
Django Argon2,"argon2$argon2i$v=19$m=65536,t=3,p=4$TQmBsNYaA6DUOqfUujemNA$BT9szptNMbpkjZbGZ/368CN6ayXLyJ/YY1xt+NnFAN4",None,102,0,0,0,0,0,0,1,1,1,0,0,1
Django BCrypt,bcrypt$$2b$12$uf8/fbwWdGo3B1B76y8zceig2pa70ED9uKJqMgCwocC495gt6diDu,None,67,0,0,0,0,0,0,1,0,1,0,0,1
Django BCrypt SHA256,bcrypt_sha256$$2b$12$nXlxBDGtRnI1gdXqwB5dgu4R4cHlMBeExXBpvsnaeg2yl8KAl.zjG,None,74,0,0,0,0,0,0,1,0,0,1,0,1
Django DES Crypt,crypt$vi$viteX/60dCM4k,None,22,0,0,0,0,0,0,1,0,1,0,0,1
Django PBKDF2 SHA1,pbkdf2_sha1$131000$tY0w0qS7hSRR$iBBpcDv1J+ymWzArszm/uwVvHB0=,None,60,0,0,0,0,0,0,1,1,1,0,0,1
Django PBKDF2 SHA256,pbkdf2_sha256$29000$nJgej7BbRYLe$5iVyk3JDfY9n0DXHOeV0+sf9iXrkedkjkI5h2mbErr4=,None,77,0,0,0,0,0,0,1,1,0,0,0,1
Django salted MD5,md5$BEfhJKZUHPmQ$0504660d719fb1379da9f128a41930b1,None,49,0,0,0,0,0,0,1,0,0,0,0,1
Django salted SHA1,sha1$AaRnPj20t2EO$584dcc88aff07476f8fa85a3d336bf16475d8d20,None,58,0,0,0,0,0,0,1,0,0,0,0,1
Grub PBKDF2 SHA512,grub.pbkdf2.sha512.25000.22C438A7B49672CE99B33666EC1DC3B8B7B696F27E0F410801C0F87F0F01809012C2586B8DB156AA55CA9953EAFDDF5B6B8D51CAF99FD31A23448831666C6DCD.47FFB6DF97BBB88CA92C563A676E02E5CF228551021517F9678B0514A381636404C636FA848D8755405B8BB74A2AE88B2B84AE7C6F18949C77DD1EE1745D2B92,None,282,0,0,0,0,0,0,1,0,0,1,0,1
Hex,736861646f77,None,12,0,0,1,0,0,1,0,0,0,0,0,0
HMAC-SHA1,0f4cbcefa50e3ecdeec9e33de6f8865668cde379,None,40,0,0,1,0,0,1,0,0,0,0,0,0
HMAC-SHA256,814128ab78eee53843417623d7aa7be9f4536af62625ae29de4afcabf5d679cc,None,64,0,0,1,0,0,1,0,0,0,0,0,0
